1,1,1
5,61,1
32,283,1
36,549,1
37,12,0
49,141,1
51,24,1
51,478,0
51,1574,0
63,908,1
65,156,1
67,175,1
76,67,1
76,1720,0
82,649,1
83,1845,0
92,226,1
93,51,1
102,9,1
103,80,1
105,1862,1
106,117,1
106,224,1
109,27,1
112,104,1
121,194,0
122,1269,0
125,230,1
142,415,1
154,136,1
165,485,1
167,773,1
171,63,1
173,59,1
175,155,1
177,160,1
198,24,0
198,385,0
198,1574,0
211,754,1
217,510,0
218,427,1
223,316,1
224,256,1
228,93,1
229,1293,0
235,2888,0
237,147,1
240,2578,0
242,442,1
248,1893,0
248,1951,0
258,1483,0
263,1802,0
265,2207,1
280,64,1
282,785,0
283,1480,1
290,1087,1
294,737,1
301,3041,0
305,958,0
307,1185,0
308,1574,0
323,151,0
326,857,1
341,1654,1
354,335,1
356,306,1
357,159,1
362,572,1
368,1845,0
388,1171,1
391,1828,1
409,364,1
420,161,1
424,168,1
429,809,1
433,200,1
434,2947,0
445,618,1
448,781,0
449,186,1
450,3002,0
458,19,0
458,1893,0
458,3021,1
469,89,0
473,229,1
478,2345,1
479,363,0
479,510,0
479,958,1
479,2559,0
488,1108,1
498,1151,1
504,966,0
523,1433,1
525,2011,1
525,2167,0
529,252,1
533,1531,0
534,303,1
543,780,0
555,672,1
568,1052,0
584,548,0
584,2107,0
588,341,1
594,2053,0
612,343,1
627,1263,1
636,1019,1
642,260,0
642,1185,1
646,1759,0
663,211,1
671,2908,0
677,1250,0
677,2447,0
686,493,1
694,1250,0
694,1260,0
699,183,0
699,264,0
708,3048,0
710,1050,1
724,1310,1
725,654,1
730,2037,0
730,2714,0
733,199,1
736,1483,1
743,566,0
754,1584,1
755,1110,1
757,832,1
758,102,1
767,607,1
770,740,1
772,739,1
775,1060,1
776,1531,0
776,2530,0
778,1105,1
781,1347,1
793,239,1
796,1673,1
799,1014,1
801,1168,1
823,1607,1
826,504,1
828,1626,1
834,1039,1
839,1595,1
842,148,1
845,935,1
849,1123,1
853,329,1
861,203,1
873,2271,1
876,647,1
881,1432,1
887,1652,1
892,19,0
894,971,1
904,3008,1
911,684,1
922,2564,1
926,760,1
930,75,1
937,763,1
942,574,1
951,485,0
952,893,1
963,576,0
964,1348,1
972,1671,1
980,1142,1
1002,1253,1
1006,1315,1
1008,129,1
1014,1737,1
1020,1350,1
1022,1505,1
1044,1757,1
1048,328,1
1058,1203,1
1077,873,1
1085,1469,0
1105,1574,0
1105,2144,0
1125,1276,1
1131,1301,1
1135,1707,0
1138,1403,1
1141,153,0
1141,294,0
1141,994,1
1143,509,1
1147,2129,0
1147,2717,0
1150,435,1
1168,1431,1
1204,1917,1
1208,2140,1
1226,655,1
1233,1418,1
1257,886,0
1258,930,1
1261,767,1
1278,2804,1
1281,1845,1
1292,1269,0
